Tested_IDs,Every_ISSN
18684394,18025943
18684408,18025951
18735371,18054951
18758649,18463312
18758789,18469418
18880967,18511740
19322909,18642950
19322909,18684394
19322917,18684408
19335954,18731821
19345275,18735371
19375034,18758649
19375034,18758789
19384122,18779964
19386389,18784712
19411278,18880967
19458851,19322909
19458851,19322917
19479468,19335954
19815344,19345275
19815344,19375034
19882858,19386389
19882858,19411278
20088302,19458851
20088310,19479468
20088310,19815344
20313098,19882858
20381026,19884621
20381026,20088302
20385366,20088310
20438869,20313098
20487754,20381026
20499647,20385366
20503806,20438869
20503806,20487754
20503814,20493355
20524463,20499647
20539517,20503806
20595816,20503814
20595891,20524463
20908423,20539517
20908423,20595816
20908431,20595891
20909551,20908423
21506698,20908431
21506698,20909551
21619417,21506698
21619417,21506701
21646058,21619417
21651019,21635226
21731071,21646058
21827974,21651019
21827974,21731071
21870608,21827974
21926611,21926611
21926611,21952965
21952965,22003517
22003517,22284745
22106278,22394303
22106278,22396152
22284745,22807934
22394303,22809112
22396152,22839364
22396152,22874577
22807934,22879099
22809112,23046775
22839364,23072113
22874577,23099119
22879099,23200057
22879099,23216654
23046775,23249773
23062061,23275731
23062061,23282967
23072113,23301635
23099119,23301643
23113774,23344520
23200057,23344539
23200057,23450053
23216654,23739231
23275731,23756527
23282967,23801190
23301635,23801883
23301643,23801891
23301643,23815329
23344539,23985348
23450053,23986247
23450053,24076899
23739231,24097462
23756527,24750158
23756527,24750166
23801190,25070312
23801190,25149288
23801883,25149326
23801883,25149342
23801891,25149350
23815329,25389866
23985348,-
23986247,-
24153613,-
24153613,-
24750158,-
24750166,-
24750166,-
25149288,-
25149326,-
25149342,-
25149350,-
25149350,-
25389866,-
0187358X,0006176X
0270319X,0187358X
0270319X,0194262X
0361526X,0270319X
0719367X,0361526X
0740624X,0719367X
0888045X,0740624X
0898008X,0888045X
0960085X,0898008X
0960085X,0960085X
1013090X,1013090X
1195096X,1072303X
1534150X,1195096X
1534150X,1369118X
1540949X,1533290X
1549960X,1534150X
1574020X,1540949X
1574180X,1549652X
1678765X,1549960X
1715720X,1574020X
1735188X,1574180X
1941126X,1715720X
1941126X,1735188X
1945886X,1744263X
1947945X,1941126X
1947945X,1945886X
2090956X,1947945X
2090956X,2090956X
2174081X,2096157X
2174081X,2174081X
2192662X,2192662X
2500106X,2500106X
