DOI,author,title,abstract,journal,year,affiliation
10.1515/pdtc-2018-0031,"Baeza Ventura, Gabriela",Recovering the US Hispanic Literary Heritage: A Case Study on US Latina/o Archives and Digital Humanities,"This article focuses on the work and efforts put forth by the University of Houston's Recovering the US Hispanic Literary Heritage program (Recovery) to create the first digital humanities center for US Latina/o Research: #usLdh. Recovery is a program to locate, preserve, and make available the written legacy of Latinas/os in the United States since colonial times until 1960. Through 27 years of successful work Recovery has not only been able to inscribe the excluded history of Latinas/os, but also has created an inclusive and vast digital repository that facilitates scholarship in this area of studies. This article focuses on the importance of recovery work in the writing, teaching, and understanding of history and considers how local personal archives have helped to fill in the gaps of mainstream history. We will detail the goals and challenges of this mission, as well as the importance of educating the community in digital methods that preserve and disseminate minority voices.","Preservation, Digital Technology and Culture",2019,US
10.1016/s0187-358x(14)70913-x,"Morillo, Johann Pirela",El desarrollo de competencias informacionales en estudiantes universitarios. Experiencia y perspectivas en dos universidades latinoamericanas,"The experiences of the National Autonomous University of Ciudad Juarez (uacj-Mexico) and the Universidad del Zulia (luz-Venezuela), regarding the development of information competencies in student are described. A documentary research methodology was developed, based on a critical review of institutional plans and programs, and on the information available on the websites of these universities. Additionally, interviews of key personnel (librarians and teachers), who have worked with information literacy actions, were conducted. Conclusions show that although both universities have garnered significant experience in developing information literacy in students, they cannot be considered as information-literate educational institutions. The Autonomous University of Ciudad Juarez (uacj) articulates information literacy in a more systematized and focused approach, exhibiting superior integration between library services and curriculum. At the University of Zulia (luz), though efforts and initiatives have been implemented, integration, monitoring and evaluation have been deficient. The paper concludes with proposals regarding adoption of policies and institutional arrangements to include alfin as a part of the curriculum and the implementation of organizational strategies to promote information skills, enabling students to participate in the dynamics of the knowledge.",Investigacion Bibliotecologica,2014,Venezuela
10.1016/j.ibbai.2016.10.021,"Morales-Morante, Luís Fernando",Production and impact of Peruvian social science journals in the Latinex catalogue,"This paper analyzes the scientific production and leading indicators of international visibility of 25 Peruvian social science journals indexed in Latindex between 2005 and 2013, finding, with respect to other areas of knowledge, that there are more journals in the field of Psychology, Economy and Law and a large, relatively balanced quantity of articles published by both national and foreign authors. Moreover, papers by authors associated with private universities appear more often in the pages of these journals than those from public universities. Some incentive measures are proposed to improve the quality, number of citations and presence in international search engines.",Investigacion Bibliotecologica,2016,Spain
10.22201/iibi.24488321xe.2020.85.58234,"Ruiz Astiz, Javier",The editorial strategy around the event: Labort’s invasion of 1636 in hispanic printing,"The news pamphlets narrate all kinds of events, from parties and royal entrances to extraordinary cases, through diplomatic and military chronicles. During the Thirty Years War, this type of print proliferated, reporting assaults and battles, such as the invasion that occurred in 1636 in the Labort area. This fact quickly spread throughout the Iberian Peninsula in the form of news pamphlets, keeping five different editions printed in five spanish cities. They all narrate the same event, although they show paratextual differences on the cover and other typographic and ornamental elements, as well as on parts of the text. This tells us about the editorial strategy followed by each printer, which will be verified through the material analysis of each edition.",Investigacion Bibliotecologica,2020,Spain
10.1080/108107399127075,"Ramirez, Amelie G",Advancing the role of participatory communication in the diffusion of cancer screening among hispanics,"Based on previously demonstrated methods, a cancer prevention program combining media and interpersonal communication was conducted in a Texas border city (Brownsville) in 1995-1996. To evaluate the program a quasi-experimental panel design study followed 107 women in a program site and 105 women in a comparison site from 1994 to 1996. Women in the program site reported an increase in levels of Pap screening adherence. ",Journal of Health Communication,1999,US
10.1080/10810730600934542,"Frates, Janice",Promoting organ donation to Hispanics: The role of the media and medicine,"This study assesses the impact of a paid media advertising campaign employing Spanish language, culturally sensitive television and radio spots airing on major Hispanic stations in southern California. An advertising tracking study with a baseline and three postintervention telephone surveys was conducted from 2001 through 2003 among 500 randomly selected self-identified, primarily Spanish language dominant adult Hispanics. Measures of organ donation attitudes and behaviors (decision and declared intent to donate organs) improved significantly (P < .05) in 2001 and 2002, then leveled off or declined in 2003. Among the reasons given for not making a decision to donate was fear that medical personnel might withhold care from identified organ donors, suggesting lack of knowledge and distrust of the health care system. Few respondents talked to health care professionals or contacted the organ procurement agency for information either before or after the campaign. Findings from this study indicate a need for ongoing public education in the Hispanic community about organ transplantation and donation. Health professionals need to become more engaged in encouraging Hispanic patients to learn about organ transplantation and donation, and to inform their families that they have made the personal decision to donate.",Journal of Health Communication,2006,US
10.1080/10810730701438690,"Wilkin, Holley A.",Does entertainment-education work with Latinos in the United States? Identification and the effects of a telenovela breast cancer storyline,"This article examines the proposition that a popular form of entertainment, the telenovela, can educate Spanish-speaking viewers in the United States if accurate health information is presented in a dramatic, narrative format. Health professionals consulted on a breast cancer storyline in a Spanish-language telenovela, Ladrón de Corazones, and the impact on viewers' knowledge and behavioral intentions were assessed using three methods. First, an analysis of call attempts to 1-800-4-CANCER demonstrated a significant increase in calls when a PSA featuring the number aired during the program. Second, a nationwide telephone survey indicated that viewers, especially those who identify with Spanish-language television characters, gained specific knowledge from viewing the story and that male viewers were significantly more likely to recommend that women have a mammogram. Third, these trends were confirmed and further explored using focus groups of Ladrón viewers. Implications for educating viewers using dramatic serials in the United States are discussed.",Journal of Health Communication,2007,US
10.1080/10810730701807142,"Siegel, Jason T.",Intentions of becoming a living organ donor among hispanics: A theory-based approach exploring differences between living and nonliving organ donation,"This research examines perceptions concerning living (n = 1,253) and nonliving (n = 1,259) organ donation among Hispanic adults, a group considerably less likely than the general population to become donors. Measures are derived from the Theory of Planned Behavior (Ajzen, 1991) and Vested Interest Theory (Crano, 1983, 1997). A substantial percentage of respondents reported positive attitudes and high personal stake concerning organ donation. Mean differences in norms, attitudes, intentions, and assumed immediacy of payoff were found between living and nonliving donor groups, suggesting that these two donation formats are dissimilar and should be examined independently. Accordingly, separate hierarchical multiple regression models were estimated for living and nonliving donation. Analyses supported both theoretical frameworks: Constructs associated with Planned Behavior and Vested Interest independently contributed to donor intentions. The implications of these results, and our recommendations for future health campaigns, are presented in light of these theoretical models.",Journal of Health Communication,2008,US
10.1080/10810730903089606,"Roberto, Anthony J.",Enhancing web-based kidney disease prevention messages for Hispanics using targeting and tailoring,"The goal of this experiment was to assess the effects of targeted and tailored web-based messages on Hispanics' perceived susceptibility to kidney disease, and on their intention to talk to a doctor about kidney disease (the recommended behavior). Two-hundred-seventeen English-speaking Hispanics age 40 and older were recruited using an online survey service, and they were assigned randomly to read one of four messages (i.e., control, generic, targeted, and tailored). The hypothesis predicted a positive linear trend between type of message received and perceived susceptibility and intentions. Results were partially consistent with this hypothesis. Specifically, perceived susceptibility to kidney disease was highest in the tailored condition, followed by the generic and targeted conditions (which did not differ from each other), followed by the control condition where perceived susceptibility was the lowest. For behavioral intention, those in the tailored, targeted, and generic conditions did not differ from one an other; however, all three did report greater intentions to ask a doctor about kidney disease than those in the control condition. The theoretical and practical insights and implications of these findings are discussed.",Journal of Health Communication,2009,US
10.1080/10810730903032952,"Waters, Erika A",Cancer prevention information-seeking among hispanic and non-hispanic users of the National Cancer Institute's Cancer Information Service: Trends in telephone and LiveHelp use,"Evidence-based strategies to enable, encourage, and support cancer prevention information seeking among Hispanic populations are needed. We examined cancer prevention information requests to the Cancer Information Service (CIS) via telephone (1-800-4-CANCER toll-free telephone information service) and LiveHelp (an instant messaging service provided in English only) from 2003 to 2006. We summarized differences in the communication channel utilized by ethnicity (Hispanic vs. non-Hispanic) and, among Hispanic information seekers, the language used during the contact (English vs. Spanish). Utilization of LiveHelp was higher among non-Hispanic than Hispanic seekers of cancer prevention information. LiveHelp use for seeking cancer prevention information increased between 2003 and 2006 for both groups, but the increase was greater among non-Hispanics than Hispanics. Nearly half of Hispanics who sought cancer prevention information did so in Spanish. Because LiveHelp is not available in Spanish, the number of Spanish-only speakers who preferred to contact CIS via LiveHelp instead of telephone is unknown. When communicating cancer prevention information via multiple channels, it is important to consider differences in access to communication technologies and preferred communication channels among ethnic minority groups.",Journal of Health Communication,2009,US
10.1080/10810730.2010.522697,"Clayman, Marla L","Providing health messages to Hispanics/Latinos: Understanding the importance of language, trust in health information sources, and media use","Health communication is critical to promoting healthy lifestyles and preventing unhealthy behaviors. However, populations may differ in terms of their trust in and use of health information sources, including mass media, the Internet, and interpersonal channels. We used the 2005 Health Information National Trends Survey (HINTS) to test the hypothesis that Hispanics who are less comfortable speaking English would differ from Hispanics who are comfortable speaking English with respect to trust in health information sources and media use. Hispanics/Latinos comprised 9% of the 2005 HINTS sample (n=496). Respondents not born in the United States regardless of race/ethnicity and all Hispanics were asked, How comfortable do you feel speaking English? Responses of completely, very, or native speaker were combined into comfortable speaking English: all other responses were categorized as less comfortable speaking English. Those comfortable speaking English reported higher trust for health information from newspapers (p<.05), magazines (p<.05), and the Internet (p<.01) compared with those less comfortable speaking English. They also reported more media exposure: daily hours listening to the radio and watching television (both p<.05) and days per week reading newspapers (p<.05). Hispanics comfortable speaking English reported much higher levels of Internet use (54% versus 14%, p<.0001). Hispanics who are not comfortable speaking English may be difficult to reach, not only because of language barriers and lower trust in media, but also because they report relatively little use of various media channels. These findings have important implications for health communications toward non-native speakers of English in general and Hispanics in particular.",Journal of Health Communication,2010,US
10.1080/10810731003753133,"Alvaro, Eusebio M.",A mass mediated intervention on hispanic live kidney donation,"This research examines the impact of a Spanish language mass media campaign on living organ donation attitudes and behavioral intentions among Spanish dominant Hispanics in Tucson, Arizona. Impact was assessed via a pretest/posttest control group quasiexperimental design with Tucson, Arizona, as the intervention community and Phoenix, Arizona, as the control. Preintervention focus groups provided qualitative data to guide intervention development, while telephone surveys in both communities provided quantitative data to assess campaign impact. Analyses reveal pretest/posttest differences in the intervention community such that posttest intentions regarding living organ donation behaviors increased from pretest. No such differences were observed in the control community. Subsequent analyses revealed differences between respondents in the intervention community exposed to the campaign vs. those in the same community not exposed to the campaign. Exposed respondents reported more positive living organ donation behavioral intentions than nonexposed respondents. Implications for research and practice are discussed.",Journal of Health Communication,2010,US
10.1080/10810730903460526,"Delorme, Denise E.","Evaluation, use, and usefulness of prescription drug information sources among anglo and hispanic Americans","This survey was conducted to determine and compare how Anglo and Hispanic Americans evaluate and use interpersonal, advertising, and mediated sources of prescription drug information. Findings suggest the following: (1) Hispanics rely on doctors, Internet advertising sources, and direct-to-consumer advertising (DTCA), while Anglos frequently use health-related websites and health care professionals; (2) Anglos are more likely to use health-related websites such as WebMD, although Anglos and Hispanics do not appear significantly different in Internet source usefulness evaluation; (3) Hispanics rely on television (TV) and DTC TV advertising more than Anglos, and this tendency is stronger for strong than weak Hispanic identifiers; (4) Hispanics evaluate TV news stories and TV advertising as more useful than Anglos; (5) Hispanics evaluate DTCA more positively and with less skepticism than Anglos; and (6) Hispanic ethnic identification level is positively related to preferences for Spanish-language media and health care professionals.",Journal of Health Communication,2010,US
10.1080/10810730.2011.561910,"Morris, Nancy",Interpretations of cigarette advertisement warning labels by Philadelphia Puerto Ricans,This study examined Philadelphia Puerto Ricans' interpretations of the Surgeon General's warnings that appear on cigarette packaging and in advertisements. In-home family focus groups in which participants were asked to comment on magazine cigarette advertisements showed a great variety of interpretations of the legally mandated warning labels. These findings (a) corroborate and add to research in public health and communications regarding the possibility of wide variations in message interpretations and (b) support the call for public health messages to be carefully tested for effectiveness among different social groups. The article's focus on Puerto Ricans addresses the problem of misleading conclusions that can arise from aggregating all Latino subpopulations into one group. The use of a naturalistic setting to examine interpretations of messages about smoking departs from the experimental methods typically used for such research and provides new evidence that even a seemingly straightforward message can be interpreted in multiple ways. Understanding and addressing differences in message interpretation can guide public health campaigns aimed at reducing health disparities.,Journal of Health Communication,2011,US
10.1080/10810730.2010.546483,"Kim, Yong-Chan","Integrated connection to neighborhood storytelling network, education, and chronic disease knowledge among African Americans and Latinos in Los Angeles","Combining key ideas from the knowledge-gap hypothesis and communication infrastructure theory, the present study aimed to explain the relations among individuals' education, access to community-based communication resources, and knowledge of chronic diseases (diabetes, hypertension, breast cancer, and prostate cancer) among African Americans and Latinos in Los Angeles. Rather than explore the effect of isolated communication resources, this study explored the effect of an integrated connection to community-based storytellers on chronic disease knowledge. The authors hypothesized that individuals' access to a community-based communication infrastructure for obtaining and sharing information functions as an intervening step in the process where social inequality factors such as education lead to chronic disease knowledge gaps in a local community context. With random samples of African Americans and Latinos in Los Angeles, the authors found that access to community-based communication resources plays a mediating role in the case of breast cancer and diabetes knowledge, but not in hypertension and prostate cancer knowledge. The authors discussed these findings on the basis of communication infrastructure theory and knowledge-gap hypothesis.",Journal of Health Communication,2011,South Korea
10.1080/10810730.2010.529492,"Simmons, Vani Nath",Translation and adaptation of smoking relapse-prevention materials for pregnant and postpartum hispanic women,"Quitting smoking is one of the most important behavior changes a pregnant woman can make, with health benefits extending beyond pregnancy for the woman and her child. Increasing numbers of pregnant women are quitting smoking; however, the majority resume smoking later in their pregnancy or shortly after giving birth. Previous research has demonstrated the efficacy of self-help smoking relapse-prevention booklets; however, there is a dearth of materials available in Spanish for Hispanic smokers. The goal of the present study was to translate and adapt existing, theoretically based, smoking relapse-prevention materials for pregnant and postpartum Hispanic women. This article describes the transcreation approach used to ensure the Forever Free for Baby and Me booklets were linguistically and culturally relevant for the heterogeneous populations of Hispanic women. The authors conducted multistage formative research to adapt the booklets and modify vignettes and graphics. Compared with previous research conducted with pregnant non-Hispanic women, results revealed the following: (a) a lack of association or concern about smoking and weight gain, (b) the importance of family approval of behavior, and (c) stress related to difficulties surrounding the immigration experience. The authors' qualitative findings confirm and extend past research that has suggested ways to enhance the cultural relevance and acceptability of a health intervention.",Journal of Health Communication,2011,US
10.1080/10810730.2011.635767,"Roncancio, Angelica M","Health locus of control, acculturation, and health-related internet use among latinas","Among individuals residing in the United States, the Internet is the third most used source for obtaining health information. Little is known, however, about its use by Latinas. To understand health-related Internet use among Latinas, the authors examined it within the theoretical frameworks of health locus of control and acculturation. The authors predicted that acculturation would serve as a mediator between health locus of control and health-related Internet use, age and health-related Internet use, income and health-related Internet use, and education and health-related Internet use. Data were collected via a 25-minute self-report questionnaire. The sample consisted of 932 young (M age = 21.27 years), low-income Latinas. Using structural equation modeling, the authors observed that acculturation partially mediated the relation between health locus of control and health-related Internet use and fully mediated the relations among age, income, and Internet use. An internal health locus of control (p <.001), younger age (p <.001), and higher income (p <.001) were associated with higher levels of acculturation. Higher levels of acculturation (p <.001) and an internal health locus of control (p <.004) predicted health-related Internet use. The Internet is a powerful tool that can be used to effectively disseminate information to Latinas with limited access to health care professionals. These findings can inform the design of Internet-based health information dissemination studies targeting Latinas.",Journal of Health Communication,2012,US
10.1080/10810730.2011.635766,"Cerdeño, Araceli Fernández",Marketing HIV prevention for heterosexually identified latino men who have sex with men and women: The hombres sanos campaign,"This article describes the development process of Hombres Sanos, a social marketing campaign to promote HIV testing and condom use for heterosexually identified Latino men who have sex with men and women. The steps included qualitative formative research and a social marketing analytic framework to understand our target audience better, identify incentives and barriers to risk reduction, guide product development, define an optimal promotional campaign, and inform the selection of campaign platforms. A better grasp of the authors' target beneficiaries' needs and values led to an innovative dual strategy for audience segmentation and targeting. The campaign had consumer-centered, culturally sensitive, and theory-driven communication materials. The authors found communication materials and events to be appealing and effective. The campaign was well received among the wider community, and evaluation showed promising results among Latino men in general and among heterosexually identified Latino men who have sex with men and women in particular. The authors provide a step-by-step overview of the project's formative research, including research methods and findings, and how these were translated into a social marketing campaign. In addition, the authors discuss the challenges encountered in this process and the potential of social marketing to reduce HIV risk among Latinos.",Journal of Health Communication,2012,Mexico
10.1080/10810730.2011.585695,"Jandorf, Lina",Esperanza y vida: A culturally and linguistically customized breast and cervical education program for diverse latinas at three different United States Sites,"Breast cancer is the most common cause of cancer and the leading cause of cancer death among Latinas in the United States. In addition, Latinas experience a disproportionate burden of cervical cancer incidence, morbidity, and mortality compared with non-Hispanic White women. Lower use of breast and cervical cancer screening services may contribute to these disparities. To address the underutilization of breast and cervical cancer screening among diverse subgroups of Latinas, a peer-led education program called Esperanza y Vida (Hope and Life) was developed and administered at 3 sites (2 in New York and 1 in Arkansas). Immigrant Latina women and their partners were educated about the importance of breast and cervical cancer screening, with the goals of increasing their knowledge about these cancers and their screening behavior. An analysis of the intervention's findings at baseline among female participants demonstrated significant sociodemographic, interpersonal, cultural, health care system, and program variability in 3 distinct geographic regions in the United States. These data indicate the need for and feasibility of customizing cancer outreach and educational programs for diverse Latina subgroups living in various U.S. regions, with implications for informing the expansion and replication of the program in other regions of the country.",Journal of Health Communication,2012,US
10.1080/10810730.2012.712621,"Sentell, Tetine","Low health literacy, limited english proficiency, and health status in asians, latinos, and other racial/ethnic groups in california","This study estimated health status by low health literacy and limited English proficiency alone and in combination for Latino, Chinese, Korean, Vietnamese, and White respondents in a population-based sample: 48,427 adults from the 2007 California Health Interview Survey, including 3,715 with limited English proficiency. Multivariate logistic models examined self-reported health by health literacy and English proficiency in the full sample and in racial/ethnic subgroups. Overall, 44.9% with limited English proficiency reported low health literacy, versus 13.8% of English speakers. Among the limited English proficient, Chinese respondents had the highest prevalence of low health literacy (68.3%), followed by Latinos (45.3%), Koreans (35.6%), Vietnamese (29.7%), and Whites (18.8%). In the full sample, respondents with both limited English proficiency/low health literacy reported the highest prevalence of poor health (45.1%), followed by limited English proficiency-only (41.1%), low health literacy-only (22.2%), and neither (13.8%), a hierarchy that remained significant in multivariate models. However, subanalyses revealed that limited English proficient Latinos, Vietnamese, and Whites had equal or greater odds of poor health compared with low health literate/limited English proficient respondents. Individuals with both limited English proficiency and low health literacy are at high risk for poor health. Limited English proficiency may carry greater health risk than low health literacy, though important racial/ethnic variations exist.",Journal of Health Communication,2012,US
10.1080/10810730.2013.829135,"Garcia, Cesar H.",Health literacy associations between hispanic elderly patients and their caregivers,"Knowing health literacy levels of older patients and their caregivers is important because caregivers assist patients in the administration of medications, manage daily health care tasks, and help make health services utilization decisions. The authors examined the association of health literacy levels between older Hispanic patients and their caregivers among 174 patient-caregiver dyads enrolled from 3 community clinics and 28 senior centers in San Antonio, Texas. Health literacy was measured using English and Spanish versions of the Short-Test of Functional Health Literacy Assessment and categorized as ""low"" or ""adequate."" The largest dyad category (41%) consisted of a caregiver with adequate health literacy and patient with low health literacy. Among the dyads with the same health literacy levels, 28% had adequate health literacy and 24% had low health literacy. It is notable that 7% of dyads consisted of a caregiver with low health literacy and a patient with adequate health literacy. Low health literacy is a concern not only for older Hispanic patients but also for their caregivers. To provide optimal care, clinicians must ensure that information is given to both patients and their caregivers in clear effective ways as it may significantly affect patient health outcomes.",Journal of Health Communication,2013,US
10.1080/10810730.2013.778362,"Ramírez, A. Susana",Effects of ethnic targeting on the perceived effectiveness of cancer prevention messages among latinas and non-latina white women,"In general, efforts to target Latinos are made through Spanish-language messages, yet 75% of U.S. Latinos are bilingual or English dominant. Acculturation (adapting mainstream traits) is associated with increased lifestyle-related risk behaviors. Latinos maintain cultural traits and ethnic identification even as they appear to acculturate (e.g., through language). This raises questions about how to communicate health information to more-acculturated Latinos who are not reached by traditional Spanish outreach yet may not identify with general-market messages. This study tested the relative efficacy of English-language messages targeted to Latinas, compared with general-market messages, among highly acculturated Latina women and non-Latina White women. In this pair of online experiments, Latinas (n = 715) and non-Latina White women (n = 704) rated the perceived effectiveness of general-market versus Latina-targeted Pap smear and mammogram public service announcements. In 1 of 2 experiments ethnically targeted messages were rated relatively more effective for the intended audience and equally effective for the general audience. The author discusses implications for how campaigns reach U.S. Latinos across the acculturation spectrum.",Journal of Health Communication,2013,US
10.1080/10810730.2013.768723,"Quinn, Gwendolyn P.",Improving awareness of cancer clinical trials among hispanic patients and families: Audience segmentation decisions for a media intervention,"Clinical trials hold great promise for cancer treatment; yet, Hispanic cancer patients have low rates of clinical trial participation. Lack of awareness and knowledge of clinical trials and language barriers may account for low participation rates. Patient education through audiovisual materials can improve knowledge of and attitudes toward clinical trials among Hispanic populations. In this study, 36 Hispanic cancer patients/survivors and caregivers in Florida and Puerto Rico participated in focus groups to aid in developing a Spanish-language DVD and booklet intervention designed to increase knowledge about clinical trials. Focus group results showed (a) low levels of knowledge about clinical trials, (b) uncertainty about why a physician would expect a patient to make a choice about treatment, and (c) desire for family participation in decision making. Respondents expressed various preferences for aspects of the DVD such as showing extended family in the DVD and physician explanations about key terms. On the basis of these preferences, the authors developed a creative brief for a DVD. The content of the DVD was reviewed by Hispanic community leaders and key stakeholders. A final DVD was created, in Spanish, using Hispanic patients and physicians, which contained the information deemed important from the focus groups and stakeholder interviews. The DVD is complete with companion booklet and currently undergoing a randomized control trial.",Journal of Health Communication,2013,US
10.1080/10810730.2012.727962,"Gonzalez, Amelia Victoria",The effect of depression on physician-patient communication among hispanic end-stage renal disease patients,"End-stage renal disease is associated with increased level of depression. Depression is associated with a reduction in the ability of people to effectively communicate in interpersonal settings. The interaction between end-stage renal disease patients and their physicians has important implications for the course of the treatment of this disease; however, there is limited research examining the influence of depression on general patient-physician communication. This study examines the association between depression and physician-patient communication in a sample of Hispanic end-stage renal disease patients. Participating patients filled out the Beck Depression Inventory and self-reported their feelings about meeting with physicians. Patients then met with a physician, and a nurse practitioner observed the interaction. Results indicate that depression was negatively associated with patients' self-reported perceptions of their readiness for the appointment (r =-.20) and with self-reported communication efficacy (r =-.19). Moreover, the nurse practitioner rated patients with depression as being significantly less likely (a) to ask for clarification (r =-.40), (b) to be engaged in the conversation (r =-.46), and (c) to be forthcoming with the physician (r =-.37). Results of this study have significant implications for communication between physicians and end-stage renal disease patients and for the influence of depression on patient-physician communication.",Journal of Health Communication,2013,US
