Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,,,,,,,,,
Dal'Evedove Tartarotti R.C.,57193746835;,"Subject representation in institutional repositories of university libraries: The perception of managers and cataloger-indexer librarians from USP, UNESP and UNICAMP [Representação temática em repositórios institucionais de bibliotecas universitárias: A percepção de gestores e bibliotecários catalogadores-indexadores da USP, UNESP e UNICAMP]",2020,Revista Digital de Biblioteconomia e Ciencia da Informacao,18,,e020030,,,,1,10.20396/RDBCI.V18I00.8660803,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099687336&doi=10.20396%2fRDBCI.V18I00.8660803&partnerID=40&md5=31f435bedf8045e05bbba6ea13173fa0,"Universidade Estadual de Campinas, Campinas, SP, Brazil","Dal'Evedove Tartarotti, R.C., Universidade Estadual de Campinas, Campinas, SP, Brazil","In present times, the institutional repositories enable the gathering, storage, treatment, preservation and visibility of informational resources produced in the academic field. The objective of the research was to investigate the thematic representation of documentary information in institutional repositories in the context of academic libraries, by means of the application of organizational diagnostic interviews as a qualitative methodology with the managers of the institutional repositories and catalogers-indexers librarians from USP, UNESP and UNICAMP, with documentation collection. The systematize of the comparative analysis of the universe of institutional repositories investigated revealed the need for institutional repositories adequacy in the thematic representation performed by the cataloguer-indexer librarian. As closing remarks, the importance of the quality of thematic representation of informational resources in institutional repositories is emphasized, enabling the appropriate retrieval by subjects by the academic community. © 2020 Universidade Estadual de Campinas. All rights reserved.",Institutional repositories; Libraryan's role; Semi-structured interview; Subject representation; University libraries,,,,,,,,,,,,,"Dal'Evedove Tartarotti, R.C.; Universidade Estadual de CampinasBrazil; email: roberta_tartarotti@yahoo.com.br",,Universidade Estadual de Campinas UNICAMP,1678765X,,,,English,Rev. Digit. Bibliotecon. Cienc. Inf.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85099687336,,,,,,,,,
"de Jesus Cardoso Pinheiro V., Sales Paixão P.B., de Almeida Valença Cunha Barroso C.",57221641835;53464006400;57221645578;,Evaluation of the use of twitter in the library system of the Federal University of Sergipe digital marketing strategies [Avaliação do uso do twitter no sistema de bibliotecas da Universidade Federal de Sergipe estratégias de marketing digital],2020,Revista Digital de Biblioteconomia e Ciencia da Informacao,18,,e020028,,,,1,10.20396/RDBCI.V18I0.8661193,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099713235&doi=10.20396%2fRDBCI.V18I0.8661193&partnerID=40&md5=991f74d2856f2450cf0f9bbe6fb10b21,"Federal University of Sergipe, Aracaju, Sergipe, Brazil","de Jesus Cardoso Pinheiro, V., Federal University of Sergipe, Aracaju, Sergipe, Brazil; Sales Paixão, P.B., Federal University of Sergipe, Aracaju, Sergipe, Brazil; de Almeida Valença Cunha Barroso, C., Federal University of Sergipe, Aracaju, Sergipe, Brazil","The advent of the internet provided connectivity that brought down barriers, especially in communication. Society is in a network, and interaction is a major factor; in this context, information units must be present and adapted to the digital environment. Digital marketing presents itself as a strategy for success and proposes the use of metrics to measure the organization's participation in this environment. This article aims to analyze the use of twitter from the Library System of the Federal University of Sergipe (SIBIUFS) as a digital marketing strategy. The investigation is characterized as exploratory and descriptive, with a qualitative and quantitative approach. The instruments used for data collection were a questionnaire structured in an electronic form, sent via email to the social network manager, and a form built to analyze SIBIUFS' posts on twitter in 2018, through the application of audience and engagement metrics. Through the analysis of the data collected, it was concluded that SIBIUFS' performance in the use of digital marketing strategies in social networks is still timid and demands the creation of a policy that regulates all marketing practices implemented in the unit and, thus, contribute to the increase of the degree of user interaction, enabling the dissemination and sharing of information, in addition to promoting the library environment. © 2020 Universidade Estadual de Campinas. All rights reserved.",Marketing; Measurement; University libraries; User studies,,,,,,,,,,,,,,,Universidade Estadual de Campinas UNICAMP,1678765X,,,,English,Rev. Digit. Bibliotecon. Cienc. Inf.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85099713235,,,,,,,,,
da Silva Ferreira R.,15020238400;,The contemplative dimension of access to information in a 19th century bibliographic collection the Baron of Guajará's Library [A dimensão contemplativa do acesso à informação em uma coleção bibliográfica do século XIX a biblioteca do Barão de Guajará],2020,Revista Digital de Biblioteconomia e Ciencia da Informacao,18,,e020024,,,,1,10.20396/RDBCI.V18I0.8660790,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099682147&doi=10.20396%2fRDBCI.V18I0.8660790&partnerID=40&md5=82b04b51940364d0de29c24ca1d3f62d,"Federal University of Pará, Belém, Pará, Brazil","da Silva Ferreira, R., Federal University of Pará, Belém, Pará, Brazil","This work aims to analyze the contemplative dimension of access to information in a 19th century bibliographic collection: the books of the Baron of Guajará's library. Currently, this collection belongs to the Instituto Histórico e Geográfico do Pará (Historical and Geographical Institute of Pará) (IHGP) and has acquired the status of exhibition object. The case study is guided by the discussion of the concepts of access and communication, the latter worked from a museological perspective. Both qualitative and quantitative data were collected between March 2018 and January 2020 at the IHGP headquarters. The study shows that the transition from private library status to museum object status adds value to bibliographic collection. The new status offers visitors another type of informational experience, thus articulating the books, the furniture, the building, as well as the owner with the culture, history, and politics of the 19th century. In conclusion, there is an aesthetic and sensory experience that brings the observer to Imperial Belém with its ways of consuming the printed culture that alludes to publishers and bookstores of France. © 2020 Universidade Estadual de Campinas. All rights reserved.","Access to information; Books; Exhibitions; Raiol, Domingos Antônio - 1830-1912",,,,,,,,,,,,,"da Silva Ferreira, R.; Federal University of ParáBrazil; email: rubenspa@yahoo.com",,Universidade Estadual de Campinas UNICAMP,1678765X,,,,English,Rev. Digit. Bibliotecon. Cienc. Inf.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85099682147,,,,,,,,,
"Dias G.A., Siebra S.A., de Sousa R.P.M., de Sousa M.R.F.",52363662800;57495225200;56153009200;57217560413;,Publishing research data: Contextualizing the main steps and elements involved in the process [Publicando dados de pesquisa: Contextualizando as principais etapas e elementos envolvidos no processo] [Publicación de datos de investigación: Contextualización de los principales pasos y elementos implicados en el proceso],2020,Ciencia da Informacao,49,3,,115,127,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113784083&partnerID=40&md5=9c2ac6b793f9b70424be0c1bc1c02990,"Universidade Estadual Paulista Júlio de Mesquita Filho (Unesp), Brazil; Ciência da Informação pela Universidade de São Paulo (USP), Brazil; Universidade Federal da Paraíba (UFPB), João Pessoa, PB, Brazil; Universidade Federal de Pernambuco (UFPE) – PE, Brazil; Universidade Federal de Pernambuco (UFPE), Recife, PE, Brazil; Universidade Federal da Paraíba (UFPB) – PB, Brazil; Universidade Federal do Oeste da Bahia (UFOB), Barreiras, BA, Brazil; Universidade Federal da Paraíba (UFPB) – PB, Brazil; Universidade Federal da Paraíba (UFPB), João Pessoa, PB, Brazil","Dias, G.A., Universidade Estadual Paulista Júlio de Mesquita Filho (Unesp), Brazil, Ciência da Informação pela Universidade de São Paulo (USP), Brazil, Universidade Federal da Paraíba (UFPB), João Pessoa, PB, Brazil; Siebra, S.A., Universidade Federal de Pernambuco (UFPE) – PE, Brazil, Universidade Federal de Pernambuco (UFPE), Recife, PE, Brazil; de Sousa, R.P.M., Universidade Federal da Paraíba (UFPB) – PB, Brazil, Universidade Federal do Oeste da Bahia (UFOB), Barreiras, BA, Brazil; de Sousa, M.R.F., Universidade Federal da Paraíba (UFPB) – PB, Brazil, Universidade Federal da Paraíba (UFPB), João Pessoa, PB, Brazil","The use and reuse of research data are important and necessary actions in the current context of scientific practice. For this reason, the datasets produced during the research initiatives need to be published to be more easily accessed by the entire scientific community. However, publishing data does not mean merely making it available in a repository, but comprises a series of steps that must be considered so that they can be effectively used. Thus, this work has as main objective to discuss the process of publishing research datasets in the context of science. This is a descriptive and qualitative investigation, which makes use of bibliographic research. As results, elements involved in the process of publishing research data and discussions are presented, covering the stages of publication of datasets, relating to the deposit, description, identifier assignment and review, steps that involve the core of the publication process. © 2020, Brazilian Institute for Information in Science and Technology. All rights reserved.",Data journal; Data paper; Data publication; Data sharing; Scientific data,,,,,,,,,,,,,,,Brazilian Institute for Information in Science and Technology,1001965,,,,Portuguese,Cienc. Inf.,Article,Final,,Scopus,2-s2.0-85113784083,,,,,,,,,
"Barcelos J., Macêdo D.J., Maricato J.M.",57211424556;57190306691;36645969300;,Measuring scientific information on the web 2.0: Exploring altmetric’s platafform possibilities and limitations [Medição da informação científica na web 2.0: explorando as possibilidades e limitações da plataforma altmetric] [Medición de información científica en la web 2.0: explorar las posibilidades y limitaciones de la plataforma altmetric],2020,Ciencia da Informacao,49,3,,272,288,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113756751&partnerID=40&md5=165cf81a23105970961a676114ab09cb,"Universidade de Brasília (UnB), Distrito Federal, Brasília, Brazil","Barcelos, J., Universidade de Brasília (UnB), Distrito Federal, Brasília, Brazil; Macêdo, D.J., Universidade de Brasília (UnB), Distrito Federal, Brasília, Brazil; Maricato, J.M., Universidade de Brasília (UnB), Distrito Federal, Brasília, Brazil","With the evolution of the Internet, new ways of collaboratively creating and sharing knowledge emerged, culminating in the Web 2.0 (Web social). With the evolution of the Internet, emerge new ways of creating and sharing knowledge collaboratively, culminating in the Web 2.0 (Web social). The products resulted from academic and scientific activities also began to circulate in the social media, inspiring the interest of researchers in the measurement and study of actions and interactions related to such activities, arising altmetrics. Since then, technologies, tools and platforms have been created to measure these phenomena, and Altmetric, from Digital Science, is currently the main platform for collecting altmetrics data. This research aims to explore the possibilities, limitations and structural characteristics of Altmetric as a source of data and altmetric indicators. The platform is analyzed in an exploratory and experimental way, based on data from SciELO’s collection and an interview with Altmetric’s director of research relations, Stacy Konkiel. As a result, several possibilities, limitations and characteristics related to the conceptual foundations and the production of the platform indicators were presented and discussed, as well as the types of sources / data tracked; coverage range; calculation of the Altmetric score; popularity and media coverage; possibilities of studying correlations between citations and mentions. © 2020, Brazilian Institute for Information in Science and Technology. All rights reserved.",Altmetric tools; Altmetrics; Informetrics; Social media; Social web,,,,,,,,,,,,,,,Brazilian Institute for Information in Science and Technology,1001965,,,,Portuguese,Cienc. Inf.,Article,Final,,Scopus,2-s2.0-85113756751,,,,,,,,,
Fernandes J.H.C.,57201544831;,Bibliographic and epistemological exchanges between data science and information science [Interlocuções bibliográficas e epistemológicas entre a ciência de dados e a ciência da informação] [Interlocuciones bibliográficas y epistemológicas entre ciencia de datos y ciencia de la información],2020,Ciencia da Informacao,49,3,,232,242,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113739808&partnerID=40&md5=295158bee8341b777c4e8c6e4343b1cf,"Universidade Federal de Pernambuco (UFPE), Recife, PE, Brazil; Universidade de Brasília (UnB), Brasília, DF, Brazil","Fernandes, J.H.C., Universidade Federal de Pernambuco (UFPE), Recife, PE, Brazil, Universidade de Brasília (UnB), Brasília, DF, Brazil","In view of the great recent evidence achieved by methods, tools and practices of data science, the article verifies the possibility that there are new foundations in a supposed science called Data Science, and how it would impact or be impacted by Information Science. The methodology is exploratory, and uses bibliographic research based on analysis of networks of co-occurrences and bibliographic coupling involving the terms “data science”, “information science” and “library and information science”. The exchanges and contributions of the two fields of practices, evidenced by the analyzes produced, as well as some epistemological implications, point not only to an opportunity for exchanges, but to a need for them to occur as soon as possible. © 2020, Brazilian Institute for Information in Science and Technology. All rights reserved.",Analysis of co-occurrences; Bibliographic coupling; Big data; Libray and information science; Professional development,,,,,,,,,,,,,"Fernandes, J.H.C.; Universidade Federal de Pernambuco (UFPE)Brazil; email: jhcf@unb.br",,Brazilian Institute for Information in Science and Technology,1001965,,,,Portuguese,Cienc. Inf.,Article,Final,,Scopus,2-s2.0-85113739808,,,,,,,,,
"Siqueira J., Martins D.L.",57192555345;56542759700;,Information retrieval: Discovery and analysis of workflows for aggregating cultural heritage data [Recuperação de informação: Descoberta e análise de workflows para agregação de dados do patrimônio cultural] [Recuperación de información: Descubrimiento y análisis de flujos de trabajo para agregar datos del patrimonio cultural],2020,Ciencia da Informacao,49,3,,97,114,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113723633&partnerID=40&md5=99b1afbcef52d9fcf3ddadd97a5aa5fe,"Ciência da Informação pela Universidade de Brasília (UnB), Brasília, DF, Brazil; Ciência da Computação pela Universidade Federal de Goiás (UFG), GO, Brazil; Universidade Católica de Brasília (UCB), Brasília, DF, Brazil; Universidade de São Paulo (USP), SP, Brazil; Ciência da Informação pela Universidade de São Paulo (USP), São Paulo, SP, Brazil; Universidade de Brasília (UnB), Brasília, DF, Brazil","Siqueira, J., Ciência da Informação pela Universidade de Brasília (UnB), Brasília, DF, Brazil, Ciência da Computação pela Universidade Federal de Goiás (UFG), GO, Brazil, Universidade Católica de Brasília (UCB), Brasília, DF, Brazil; Martins, D.L., Universidade de São Paulo (USP), SP, Brazil, Ciência da Informação pela Universidade de São Paulo (USP), São Paulo, SP, Brazil, Universidade de Brasília (UnB), Brasília, DF, Brazil","In recent years, different cultural institutions have been making efforts to spread culture through the construction of a unique search interface, which integrates digital objects and facilitates data retrieval for lay users. However, integrating cultural data is not a trivial task, as these are diverse and unique, requiring a variety of steps between collection and presentation. In order to identify these steps, this research aims to locate data aggregation workflows and discuss them. To this end, descriptive and bibliographic research, of a qualitative nature, was carried out in academic databases and in gray literature. As a result, eight projects are presented: American Art Collaborative, DigitalNZ, D-NET Software, Europeana, Mexicana, Parthenos Aggregator, TROVE and UNLV’s Linked Data Project. The analysis of the set of workflows resulted in eight different steps to be performed: 1. Extract, 2. Structure, 3. Transform, 4. Reconcile, 5. Store, 6. Publish, 7. Expose and 8. Enable new applications. In addition, the need for more detailed stages is also visible, so that it is possible to replicate the workflow, and enjoy its benefits in other institutions.. © 2020, Brazilian Institute for Information in Science and Technology. All rights reserved.",Cultural heritage; Data aggregation; Information retrieval; Integrated search; Workflow,,,,,,,,,,,,,,,Brazilian Institute for Information in Science and Technology,1001965,,,,Portuguese,Cienc. Inf.,Article,Final,,Scopus,2-s2.0-85113723633,,,,,,,,,
Salarelli A.,36612190800;,All the not extinguished passions of a librarian: Considerations about Luca Ferrieri's la biblioteca che verrà [Tutte le passioni non spente di un bibliotecario: considerazioni attorno a La biblioteca che verrà di Luca Ferrieri],2020,AIB Studi,60,3,,699,709,,,10.2426/aibstudi-12257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105546427&doi=10.2426%2faibstudi-12257&partnerID=40&md5=3c7062f56b1a805db92149f1c0c09e35,"Università Degli Studi di Parma, Dipartimento di Discipline Umanistiche, Sociali e Delle Imprese Culturali, Parma, Italy","Salarelli, A., Università Degli Studi di Parma, Dipartimento di Discipline Umanistiche, Sociali e Delle Imprese Culturali, Parma, Italy","The recent book of Luca Ferrieri (La biblioteca che verrà: pubblica, aperta, sociale. Milano: Editrice bibliografica, 2020) intervenes in the debate on the future of the public library - a debate that has been animating LIS literature for many years - with a wide-ranging discussion of the most complex issues related to organizational aspects and social impact that libraries will have in the coming years. The author's main assumption is that the identitarian paradigm of the 'public library' is definitively imploded and that around the values highlighted in the subtitle of this essay - the library as a public good; the openness as an attitude towards the individuals' needs and the multiplicity of document languages and formats; the sociality as a value through which one can recognize himself - arises a new idea of library based on the users' new needs and requests. A new idea of library which, in order to be credible and effective, must necessarily be based on a deep theoretical research about its identity. This article examines Ferrieri's work trying to underline lights and shadows of a complex essay, which is extremely documented and, beyond any doubt, animated by a sincere passion for libraries and librarians. © 2020 Associazione Italiana Biblioteche. All rights reserved.",,,,,,,,,,,,,,"Salarelli, A.; Università Degli Studi di Parma, Italy; email: alberto.salarelli@unipr.it",,Associazione Italiana Biblioteche,22809112,,,,Italian,AIB Studi,Review,Final,,Scopus,2-s2.0-85105546427,,,,,,,,,
Rankelienė S.,57219356226;,The books of Sigismund II augustus in vilnius university library: Decorations of book covers and new data about provenances [ŽYgimanto augusto knygos vilniaus universiteto bibliotekoje: KnygŲ virŠeliŲ puoŠyba ir nauji duomenys apie proveniencijas],2020,Knygotyra,74,,,35,95,,,10.15388/KNYGOTYRA.2020.74.46,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092423417&doi=10.15388%2fKNYGOTYRA.2020.74.46&partnerID=40&md5=80b20c66575fa855d297e25f7f858654,"Vilniaus Universiteto Biblioteka, Universiteto g. 3, Vilnius, LT-01513, Lithuania","Rankelienė, S., Vilniaus Universiteto Biblioteka, Universiteto g. 3, Vilnius, LT-01513, Lithuania","In this article, the latest data about the personal book collection items of King of Poland and Grand Duke of Lithuania Sigismund II Augustus in Vilnius University (VU) Library are presented. The authors that have been doing research on these books have not ascertained all of the embossed images that were used for cover decoration and have not identified the locations of where these books were bound and have not disclosed all of the provenances. In order to amend the lack of knowledge about the books of Sigismund II Augustus in VU library, the book covers of the King's personal library were reviewed de visu and decorative ornaments were described. The ownership signs of the books were registered once again. While describing and comparing these books with the copies in various libraries of the world, the number of physical books (14) and publications in composite volumes (21) kept in VU library was assessed. The name of one book and a publisher's imprint of two books were specified, eight provenances that were not mentioned by previous authors were registered. While describing book covers, the embossed images were given provisory names. Connections between the supralibros, dates of binding, decorative wheels, single embossed images, and other decorative elements were detected and lead to a reasonable conclusion that eight out of fourteen books from the Sigismund II Augustus collection were bound in Kraków, five were bound by bookbinders in Vilnius, while one was rebound in the 18th century. The identification of tools used by craftsmen that worked in Kraków and Vilnius will allow to ascertain the manufacturing location of similar book covers made in the middle of the 16th century. Copyright © 2020 Sondra Rankelienė. Published by Vilnius University Press.",Bookbinders of Kraków; Bookbinders of Vilnius; Cover decoration; Library of Sigismund Augustus; Ornamental embossing; Provenances; Roulette embossing; Singular embossing; Supralibros; Vilnius University Library,,,,,,,,,,,,,,,Vilnius University,2042061,,,,Lithuanian,Knygotyra,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85092423417,,,,,,,,,
"Maia M.F.G., Vieira Guerra M.D.G.G.",57219327360;57218620213;,"Evaluating principles for university library: Promoting culture, art and knowledge beyond books collection [Princípios avaliativos para biblioteca universitária: Promovendo cultura, arte e conhecimento para além do acervo de livros]",2020,Revista Digital de Biblioteconomia e Ciencia da Informacao,18,,8659641,,,,1,10.20396/RDBCI.V18I0.8659641,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092244128&doi=10.20396%2fRDBCI.V18I0.8659641&partnerID=40&md5=7825501964114f44ed24c1ac5b1b4eb2,"Federal University of Tocantins, Palmas, TO, Brazil; Federal University of Paraíba, João Pessoa, PB, Brazil","Maia, M.F.G., Federal University of Tocantins, Palmas, TO, Brazil; Vieira Guerra, M.D.G.G., Federal University of Paraíba, João Pessoa, PB, Brazil","This paper is about the evaluation of the university library in the context of the National Higher Education Evaluation System (SINAES, in Portuguese) in Brazil. It aims to propose a set of evaluating principles for the university library which goes beyond the simple verification and updating of collections. For methodology, it relies on documentary and bibliographic research with inputs from the study of users and from the experience of university extension accomplished in Universidade Federal do Tocantins. As a result, it presents a six-steps model: 1) global view; 2) continuous evaluation of the processes; 3) continuous improvement 4) identification of the needs of the interactors; 5) definition of products and services; and 6) marketing. It concludes by reinforcing this model so that university libraries are evaluated as having the best quality and not as simple deposits of books. © 2020 Universidade Estadual de Campinas. All rights reserved.",Evaluation methods; Extensive education; Library administration; SINAES,,,,,,,,,,,,,,,Universidade Estadual de Campinas UNICAMP,1678765X,,,,English,Rev. Digit. Bibliotecon. Cienc. Inf.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85092244128,,,,,,,,,
Bebissemegnie J.B.,57217083088;,"Information governance, pillar of sustainable development [Gouvernance de l'information, pilier du développement durable] [Gobernanza de la información, pilar del desarrollo sostenible] [Informationsmanagement als Säule der nachhaltigen Entwicklung]",2020,Comma,2019,1,,37,41,,,10.3828/comma.2019.1.4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086118922&doi=10.3828%2fcomma.2019.1.4&partnerID=40&md5=f4e7f4136b454663c62178cbe982ca88,"S/C Ministère des Relations Extérieures: D10, BP: 18, Yaoundé, Cameroon","Bebissemegnie, J.B., S/C Ministère des Relations Extérieures: D10, BP: 18, Yaoundé, Cameroon","In defining the concept “information governance,” SerdaLab makes clear that the organisation of information, is necessary for the effective functioning of institutions and business from the perspective of document and information management. The management of records, with its own specific procedures, specifically the management of document production to dissemination and safekeeping; and particularly the development of policies, procedures and sound processes, certainly contribute to providing effective and efficient responses to information needs and problems. But, above all, good archival management contributes both to traceability and to transparency within organisational management. In this respect, the aim [here] is to observe how good records management can help in the struggle against corruption, and its grounding in information governance. The concept of information governance is explored, the management of records defined, and the link established between good records management and the struggle against corruption, thus positioning information governance as a lever for achieving United Nations Sustainable Goal 16. © 2020 Liverpool University Press. All rights reserved.",,,,,,,,,,,,,,"Bebissemegnie, J.B.; S/C Ministère des Relations Extérieures: D10, BP: 18, Cameroon; email: jbbebis@gmail.com",,Liverpool University Press,16801865,,,,French,Comma,Review,Final,,Scopus,2-s2.0-85086118922,,,,,,,,,
Browell G.,56851770700;,Archives Africa: Towards a universal archive catalogue for Africa [« Archives Africa »: Vers un catalogue universel pour les archives de l'Afrique] [Archives Africa: Hacia un catálogo universal de archivos para África] [„Archives Africa“: Auf dem Weg zu einer universellen Beständeübersicht für Afrika],2020,Comma,2019,1,,43,53,,,10.3828/comma.2019.1.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086106128&doi=10.3828%2fcomma.2019.1.5&partnerID=40&md5=96d5a1a8cb1a862f126086e9a3705b85,"King's College London, United Kingdom","Browell, G., King's College London, United Kingdom","During 2018, the Finding Africa Project at King's College London piloted a lightweight online archival catalogue for Madagascar, called“Archives Africa”, testing a prototype that might be adopted throughout the continent. Its premise was that too many African archive collections remain unlisted, offline and effectively invisible. Intentionally, it took a step back from familiar digitization-led approaches to ask the question, “Can we describe African archives online to help facilitate research and practical study and thus better encourage their preservation and reuse?”The project launched an Access to Memory (AtoM) catalogue and trialled a new process of directly importing collections information into it from spreadsheets or PDFs. The project drew on the successful model of AIM25, a website and database that allows users to cross-search high level descriptions of the contents of more than 150 archive institutions in the London area. This project similarly sought pragmatic and practical solutions to problems faced by archivists in the field: low cost, sustainable, with the potential for the sharing of collections information internationally, thus improving access to Africa's wealth of often hidden archives. Important lessons were learned: the need for flexibility when working within different record keeping traditions; the challenges of creating a multilingual subject thesaurus for words with diverse cross-cultural meanings; the preference that such activity be driven by local needs and ways of working but also the exciting potential for new international partnerships to be forged and for new markets for ideas opened up. © 2020 Liverpool University Press. All rights reserved.",,,"Department for International Development, UK Government, DFID","In time, AIM25 adopted and extended the UK Archival Thesaurus (UKAT), established in 2003 by a consortium of partner archives, led by The National Archives and funded by the UK’s Heritage Lottery Fund. UKAT’s purpose was to provide a more nuanced and UK-specific subject thesaurus to reflect the types of geographical or institutionally specific themes encountered in London’s archives, including military history and the history of minorities. Since then, AIM25-UKAT has undergone periodic refreshes with the addition of new subject terminology, recently, with terms relating to the eighteenth century, to help support the Georgian Papers Programme, the digitization partnership between the Royal Archives and King’s College London. Crucially, such controlled vocabularies ensure greater consistency across metadata of records with diverse authors and of varying granularity. They help facilitate predictability in searching and search results.14","Close associations similarly exist between archivists and librarians of Development Studies in Europe and recordkeepers in many African countries. This extends beyond archives to providing or supporting open access through digital repositories and publishing, for example Sussex University’s Institute of Development Studies’ numerous partnerships funded by the UK Department for International Development’s one-time Mobilizing Knowledge for Development umbrella programme. These were designed to support local training capacity in countries including Zambia, Ethiopia and Zimbabwe by providing online access to important reference information via electronic repositories of publications maintained by the Institute in the UK and Africa.10",,,,,,,,,"Browell, G.; King's College LondonUnited Kingdom; email: Geoffrey.browell@kcl.ac.uk",,Liverpool University Press,16801865,,,,English,Comma,Review,Final,,Scopus,2-s2.0-85086106128,,,,,,,,,
"Amaral F.V., Corrêa E.C.D.",57218582827;55220808000;,Library and information science contributions to university libraries management [Contribuições da biblioteconomia e ciência da informação para a gestão de bibliotecas universitárias],2020,Revista Digital de Biblioteconomia e Ciencia da Informacao,18,,e020008,,,,1,10.20396/RDBCI.V18I0.8659172,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089704257&doi=10.20396%2fRDBCI.V18I0.8659172&partnerID=40&md5=c2900c4446e74686dd8815fcd803be51,"Universidade Federal de Lavras, Lavras, MG, Brazil; Universidade do Estado de Santa Catarina, Florianópolis, SC, Brazil","Amaral, F.V., Universidade Federal de Lavras, Lavras, MG, Brazil; Corrêa, E.C.D., Universidade do Estado de Santa Catarina, Florianópolis, SC, Brazil","Librarianship and Information Science are two fields that have intrinsic relation between each other, mainly in Brazil. However, in spite of the convergences, these areas arose in different historical periods and with objectives to meet very specific demands. Currently, it is noticed that Librarianship is more focused on issues related to social responsibility and democratization of education, while Information Science focuses its efforts on research in order to understand information as a phenomenon in different contexts. Among these, this article is interesting, in the strategic and professional information, usually within organizations. Between these two approaches is the university library, which occupies a prominent role in the area of education as well as strategic planning of a country. Therefore, the purpose of this article is to analyze the contributions of the two fields for the management of university libraries today. Through the literature review, it is concluded that the two areas provide complementary inputs that allow the mana$gers of these units to create an environment and services that meet the needs of their users in a more satisfactorily way. Librarianship brings both technical and humanistic contributions to university libraries, while Information Science contributes to issues related to the instability of today's society, which demands constant redefinition of the services provided. © 2020 Universidade Estadual de Campinas. All rights reserved.",Academic libraries; Information Sciences; Librarianship; Libraries management,,,,,,,,,,,,,,,Universidade Estadual de Campinas,1678765X,,,,English,Rev. Digit. Bibliotecon. Cienc. Inf.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85089704257,,,,,,,,,
Córdoba E.C.,54894516500;,Editing publications. Study of the recensio in the novel el zarco by tomás carrasquillas [Edición de publicaciones. Estudio de la recensio en la novela ElZarco de Tomás Carrasquilla],2020,Revista Interamericana de Bibliotecologia,43,2,eI7,,,,,10.17533/UDEA.RIB.V43N2EI7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092271789&doi=10.17533%2fUDEA.RIB.V43N2EI7&partnerID=40&md5=a2a10197b92f69f87866e5b4a71b209c,"Departamento de Lingüística y Literatura, Facultad de Comunicaciones, Universidad de Antioquia, Medellín, Colombia","Córdoba, E.C., Departamento de Lingüística y Literatura, Facultad de Comunicaciones, Universidad de Antioquia, Medellín, Colombia","This article presents the analysis of recensio in the novel El Zarco (1922) by the Colombian writer Tomás Carrasquilla, in the line of editing literary publications. This study is made from the theoretical-methodological approach of textual criticism, specifically, from the recensio stage, with the purpose of restoring the novel in a critical edition according to the last will of the writer. In this way, a description of the moments of the recensio will be presented, such as the search, collection, description, systematization, history and affiliation of the testimonies of the textual tradition of ElZarco, with its respective analysis and philological interpretation with the purpose of determining the relationships and transformations experienced by the different testimonies of the novel in its textual transmission or editorial history of this publication. © 2020 Escuela Interamericana de Bibliotecologia. All rights reserved.",Colombian literature; Editing publications; ElZarco; Recensio; Textual criticism; Tomás Carrasquilla,,,,,,,,,,,,,"Córdoba, E.C.; Departamento de Lingüística y Literatura, Colombia; email: edwin.carvajal@udea.edu.co",,Escuela Interamericana de Bibliotecologia,1200976,,,,Spanish,Rev. Interam. Bibl.,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85092271789,,,,,,,,,
