Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Nieto Navarro M.,57204173035;,Impact of the new Spanish patent Act in patent information,2019,World Patent Information,56,,,17,19,,1,10.1016/j.wpi.2018.09.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054794258&doi=10.1016%2fj.wpi.2018.09.003&partnerID=40&md5=d64efcf538120029ad5c608b690903f1,"Head Patent Documentation Service, Spanish Patent and Trademark Office (OEPM), Spain","Nieto Navarro, M., Head Patent Documentation Service, Spanish Patent and Trademark Office (OEPM), Spain","The new Spanish Patent Act (“Law 24/2015, of July 24, on Patents”) was passed by the Spanish Parliament in July 2015, but did not enter into force until 1st. April 2017. Among other important changes in comparison with the previous 1986 Act, the new regulation stablishes a single granting procedure with substantive examination for every patent application. Regarding patent information, some new document kind codes have been created in order to cope with the additional procedures provided for in the new Act. On the other hand, as a consequence of the implementation of substantive examination, the new Act seems to have fostered the use of patent information services as a means to ensure in advance the novelty and inventiveness of the patent applications. This communication informs about both the new types of Spanish patent documents and the apparent surge in the use of patent information services in Spain as a consequence of the implementation of the new regulation. © 2018 Elsevier Ltd",Document kind codes; New Spanish Patent Act; Patent information services Spain,,,,,,,,,,,,,,,Elsevier Ltd,1722190,,WPAID,,English,World Pat. Inf.,Article,Final,,Scopus,2-s2.0-85054794258
"Demetrescu C., Lupia F., Mendicelli A., Ribichini A., Scarcello F., Schaerf M.",7005949354;56239849900;57192413578;12645464600;6701378429;6701771330;,On the Shapley value and its application to the Italian VQR research assessment exercise,2019,Journal of Informetrics,13,1,,87,104,,8,10.1016/j.joi.2018.11.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058031245&doi=10.1016%2fj.joi.2018.11.008&partnerID=40&md5=82910086b7361480d530b9e2e058b3e9,"Department of Computer, Control, and Management Engineering Antonio Ruberti, Sapienza University of Rome, Via Ariosto 25, Rome, 00185, Italy; Department of Computer Science, Modeling, Electronics, and Systems Engineering, University of Calabria, Rende, 87036, Italy; Department of Physics, Sapienza University of Rome, Piazzale Aldo Moro 5, Rome, 00185, Italy; Institute of Information Technologies and Telecommunications, North Caucasus Federal University, Stavropol, Russian Federation","Demetrescu, C., Department of Computer, Control, and Management Engineering Antonio Ruberti, Sapienza University of Rome, Via Ariosto 25, Rome, 00185, Italy; Lupia, F., Department of Computer Science, Modeling, Electronics, and Systems Engineering, University of Calabria, Rende, 87036, Italy; Mendicelli, A., Department of Computer Science, Modeling, Electronics, and Systems Engineering, University of Calabria, Rende, 87036, Italy; Ribichini, A., Department of Physics, Sapienza University of Rome, Piazzale Aldo Moro 5, Rome, 00185, Italy; Scarcello, F., Department of Computer Science, Modeling, Electronics, and Systems Engineering, University of Calabria, Rende, 87036, Italy; Schaerf, M., Department of Computer, Control, and Management Engineering Antonio Ruberti, Sapienza University of Rome, Via Ariosto 25, Rome, 00185, Italy, Institute of Information Technologies and Telecommunications, North Caucasus Federal University, Stavropol, Russian Federation","Research assessment exercises have now become common evaluation tools in a number of countries. These exercises have the goal of guiding merit-based public funds allocation, stimulating improvement of research productivity through competition and assessing the impact of adopted research support policies. One case in point is Italy's most recent research assessment effort, VQR 2011-2014 (Research Quality Evaluation), which, in addition to research institutions, also evaluated university departments, and individuals in some cases (i.e., recently hired research staff and members of PhD committees). However, the way an institution's score was divided, according to VQR rules, between its constituent departments or its staff members does not enjoy many desirable properties well known from coalitional game theory (e.g., budget balance, fairness, marginality). We propose, instead, an alternative score division rule that is based on the notion of Shapley value, a well known solution concept in coalitional game theory, which enjoys the desirable properties mentioned above. For a significant test case (namely, Sapienza University of Rome, the largest university in Italy), we present a detailed comparison of the scores obtained, for substructures and individuals, by applying the official VQR rules, with those resulting from Shapley value computations. We show that there are significant differences in the resulting scores, making room for improvements in the allocation rules used in research assessment exercises. © 2018 Elsevier Ltd.",Bibliometrics; Research assessment; Research productivity; Shapley value,Budget control; Productivity; Quality control; Bibliometrics; Coalitional game theory; Recent researches; Research assessment exercise; Research institutions; Research productivity; Shapley value; University of Rome; Game theory,"Horizon 2020 Framework Programme, H2020: 643950",We wish to thank the anonymous reviewers for the valuable comments and suggestions. Marco Schaerf has been partially supported by the H2020 Project Second Hands under grant agreement No. 643950.,,,,,,,,,,"Schaerf, M.; Department of Computer, Via Ariosto 25, Italy; email: marco.schaerf@uniroma1.it",,Elsevier Ltd,17511577,,,,English,J. Inf.,Article,Final,,Scopus,2-s2.0-85058031245
"Beltrán-Orenes P., Martínez-Pastor E.",57191172729;55428851500;,Active and passive advertising in public contracts. a spanish regional overview [Publicidades activa y pasiva en contratación pública. una panorámica autonómica española],2019,Profesional de la Informacion,28,3,,,,12,2,10.3145/epi.2019.may.19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087849193&doi=10.3145%2fepi.2019.may.19&partnerID=40&md5=da468b5b10bdd83581dbda698fbb28d4,"Universidad Rey Juan Carlos, Campus de Fuenlabrada Camino del Molino, s/n, Fuenlabrada (Madrid), 28943, Spain","Beltrán-Orenes, P., Universidad Rey Juan Carlos, Campus de Fuenlabrada Camino del Molino, s/n, Fuenlabrada (Madrid), 28943, Spain; Martínez-Pastor, E., Universidad Rey Juan Carlos, Campus de Fuenlabrada Camino del Molino, s/n, Fuenlabrada (Madrid), 28943, Spain","The chronology of the main rules in which active and passive advertising on public procurement in Spain are collected, are prior to Law 19/2013, of 9 December, of transparency, access to public information and good governance. Public contractual information by electronic means began much earlier than the rest of the public information subject to transparency. This has resulted in a notable diversity in regional progress in the creation of platforms for contractual active advertising, and of agencies and bodies for the control of active and passive advertising contracts, respectively. The current regional map is diverse being difficult to exercise its control in transparency. The article proposes a possible solution via the concept of Unesco’s soft law. © 2019, El Profesional de la Informacion. All rights reserved.",Active advertising; Central administrative tribunal for contractual resources; Passive advertising; Platform of public contracting; Regions; Soft law; Spain; Transparency; Transparency and good governance council; Unesco,,,"Esta investigaci?n ha sido parcialmente financiada por el Gobierno de la Comunidad de Madrid bajo el proyecto Forte-CM (S2018/TCS-4314) y por el proyecto Madrid (TIN2017-88557-R), financiado por el Ministerio de Econom?a y Empresa del Gobierno de Espa?a.",,,,,,,,,,"Beltrán-Orenes, P.; Universidad Rey Juan Carlos, Campus de Fuenlabrada Camino del Molino, s/n, Spain; email: pilar.beltran@urjc.es",,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85087849193
"Figueira J., Santos S.",57218000110;56734095600;,Perceptions about fake news in Portuguese higher education students: An analysis of consumption and attitudes [Percepción de las noticias falsas en universitarios de Portugal: Análisis de su consumo y actitudes],2019,Profesional de la Informacion,28,3,,,,16,8,10.3145/epi.2019.may.15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087848582&doi=10.3145%2fepi.2019.may.15&partnerID=40&md5=efad29819d61757ddea3cf2579bfbb11,"Universidad de Coimbra, Faculdade de Letras, Largo da Porta Férrea, Coimbra, 3004-530, Portugal","Figueira, J., Universidad de Coimbra, Faculdade de Letras, Largo da Porta Férrea, Coimbra, 3004-530, Portugal; Santos, S., Universidad de Coimbra, Faculdade de Letras, Largo da Porta Férrea, Coimbra, 3004-530, Portugal","Fake news constitutes a significant part of one of the most complex problems that affect the flows of information in contemporary society: disinformation. Although this is not a recent phenomenon, the political and social consequences of the spreading of fake news on the internet have been thoroughly discussed in the last couple of years. Currently young people are the group with greater exposition to this reality due to the prevalence of communication technologies in their daily lives. On this article we review the literature on disinformation and analyse the longstanding relationship between false news and journalism, focusing on the particularities of the present situation. Using quantitative methodology, we conducted a survey to analyse the perceptions regarding fake news of 602 students (17-25 years-old) from higher education in Portugal. Our findings reveal a group that is clearly used to getting information online and has already contacted with fake news. However, different conceptions about what is fake news coexist, including erroneous ones. Hence, this study reaffirms the importance of media and information literacies, particularly the importance of raising awareness on credibility assessment, fact checking and the particularities of the information flows. © 2019, El Profesional de la Informacion. All rights reserved.",Attitudes; Disinformation; Fake news; Higher education; Information consumption; Opinions; Perceptions; Portugal; Students; Young people,,,,,,,,,,,,,"Figueira, J.; Universidad de Coimbra, Largo da Porta Férrea, Portugal; email: jotajotafigueira@gmail.com",,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85087848582
"López-Pérez L., Olvera-Lobo M.-D.",56014711900;56014616500;,Digital public engagement in excellent spanish science: analysis of research projects funded by european research council [Participación digital del público en la ciencia de excelencia española: Análisis de los proyectos financiados por el european research council],2019,Profesional de la Informacion,28,1,e280106,1,10,,3,10.3145/epi.2019.ene.06,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087458761&doi=10.3145%2fepi.2019.ene.06&partnerID=40&md5=3c20adec4e36992d179da71891e43025,"Universidad de Granada, Facultad de Comunicación y Documentación, Colegio Máximo de Cartuja, Campus Universitario de Cartuja, Granada, 18071, Spain","López-Pérez, L., Universidad de Granada, Facultad de Comunicación y Documentación, Colegio Máximo de Cartuja, Campus Universitario de Cartuja, Granada, 18071, Spain; Olvera-Lobo, M.-D., Universidad de Granada, Facultad de Comunicación y Documentación, Colegio Máximo de Cartuja, Campus Universitario de Cartuja, Granada, 18071, Spain","How much the excellent science uses web 2.0 tools to encourage public engagement in the research process is analyzed. Understanding participation, from the perspective of responsible research and innovation, not only as the communication of scientific results, but also the involvement of society in scientific development. For the analysis, an ad-hoc questionnaire developed using the Delphi method was designed and validated. The study sample is constituted by Spanish projects financed by the European Research Council in 2015. Among the results obtained, the reduced use of digital applications stands out. In fact, only 23.9% of projects have a website and less than 15% have a social profile. Regarding participation mechanisms, a limited 3% uses web 2.0 to involve citizens. With reference to the characteristics of the communication, it can be concluded that it is unidirectional from the institution responsible for the project to society-97% of the cases-and presents a high level of specialization-in more than 80% of the cases a technical language is used and the messages posted are aimed solely at experts-. © 2019, El Profesional de la Informacion. All rights reserved.",Delphi method; Internet; Participation; Public communication in science; Research projects; Responsible research and innovation; RRI; Science communication; Social media; Social networks,,,,,,,,,,,,,"López-Pérez, L.; Universidad de Granada, Campus Universitario de Cartuja, Spain; email: lourdes.lpez@gmail.com",,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85087458761
"Orero P., Cebrián-Enrique B.J.",56771519100;56453535900;,Evolution of the use of hypertext in the Spanish press (2002-2016) [Evolución del uso del hipertexto en la prensa Española (2002-2016)],2019,Profesional de la Informacion,28,2,e280225,1,16,,2,10.3145/epi.2019.mar.25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087049546&doi=10.3145%2fepi.2019.mar.25&partnerID=40&md5=3a3f887b94b27e37e27c223dd2bce44b,"Institut Valencià de Cultura (IVC), Polígono Acceso Ademuz, s/n, Burjassot, Valencia  46100, Spain; Universidad Cardenal Herrera-CEU, Facultad de Humanidades y Ciencias de la Comunicación, Luis Vives, 1, Alfara del Patriarca, Valencia  46115, Spain","Orero, P., Institut Valencià de Cultura (IVC), Polígono Acceso Ademuz, s/n, Burjassot, Valencia  46100, Spain; Cebrián-Enrique, B.J., Universidad Cardenal Herrera-CEU, Facultad de Humanidades y Ciencias de la Comunicación, Luis Vives, 1, Alfara del Patriarca, Valencia  46115, Spain","Analysis of the evolution of the use of hypertext on Spanish digital newspapers. Two decades after the first Spanish news sites, the authors studied the level of maturity of the use of semantic links as well as the most significant changes and trends when using these resources. To achieve this objective, a retrospective longitudinal empirical analysis of the use of hyperlinks is performed, covering the professional practice between 2002 and 2016. The research included six online news: three top-ranked national newspapers, and three local news sites, an area barely studied among researchers stud-ying hypertext. The overall number of semantic links is 22,296, all of them included in 4,620 home-page news stories. 4,830 links appearing within the text body received an extensive analysis. © 2019, El Profesional de la Informacion. All rights reserved.",Cyberjournalism; Digital journalism; Digital newspapers; Hypertext; Journalism; Media; Research; Semantic links,,,,,,,,,,,,,,,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85087049546
"Lorenzo-Lledó G., Lorenzo-Lledó A., Carreres A.L.",55500384200;57202729905;55500429900;,ICT in the educational context through scientific production in Spanish [Las TIC en el contexto educativo a través de la producción científica en español],2019,Revista General de Informacion y Documentacion,29,2,,287,307,,2,10.5209/rgid.66969,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078851580&doi=10.5209%2frgid.66969&partnerID=40&md5=36666f18c061aed9faf1b20612b3ff52,"Universidad de Alicante, Departamento de Psicología Evolutiva y Didáctica, Spain","Lorenzo-Lledó, G., Universidad de Alicante, Departamento de Psicología Evolutiva y Didáctica, Spain; Lorenzo-Lledó, A., Universidad de Alicante, Departamento de Psicología Evolutiva y Didáctica, Spain; Carreres, A.L., Universidad de Alicante, Departamento de Psicología Evolutiva y Didáctica, Spain","Various national and international educational reforms have been advocating the inclusion of technology as a significant resource in teaching-learning processes. The aim of this study is to carry out a bibliometric analysis of scientific production in Spanish on the inclusion of ICT in the educational context. The documents were searched in the ISI Web of Knowledge using the advanced search tab. After applying the search terms, 154 documents were obtained and analyzed according to a series of indicators. The results obtained indicate that the 2015-2017 period was the most prolix and the one that generated the greatest number of citations. The work carried out highlights the great importance of scientific journals in the publication and dissemination of research on ICTs in education. © 2019 Universidad Complutense de Madrid.",Inclusion; ISI web of knowledge.; Technology,,,,,,,,,,,,,,,Universidad Complutense de Madrid,11321873,,,,Spanish,Rev. Gen. Inf. Doc.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85078851580
"del Carmen Moreno-García M., Moreno A.M.",57194460365;57208212972;,Visibility of Spanish journals of Cinema and Audiovisual Communication in databases [Visibilidad de las revistas españolas de Cine y Comunicación Audiovisual en bases de datos],2019,Revista General de Informacion y Documentacion,29,2,,449,466,,,10.5209/rgid.66977,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078851217&doi=10.5209%2frgid.66977&partnerID=40&md5=872080f75be099c45e04fc92138c63a6,"Universidad de Barcelona, Spain","del Carmen Moreno-García, M., Universidad de Barcelona, Spain; Moreno, A.M., Universidad de Barcelona, Spain","The objective of the article is to analyse the visibility of the Spanish scientific journals on movies and audiovisual communication in the following databases: WoS, Scopus, Latindex, Cindoc-CSIC digital, and Dialnet. The methodology has been based on the calculation of the corresponding visibility indices of the 31 journals analysed. The main results are that the journals are edited by Universities in printed version as well as in double version (printed and electronic). The most frequent periodicity is the biannual, followed by the annual. The preferred language is Spanish. The calculated visibility indexes are higher in the case of national or Hispanic databases, while in international databases they are null, as in Scopus, or very low, as in the case of WoS. The need of increase the visibility of the journals analyzed in the different existing databases, especially in the international ones, is highlighted, with some proposals and suggestions for improvement. © 2019 Universidad Complutense de Madrid.",Audiovisual communication; Cinema; Databases.; Spanish scientific journals; Visibility,,,,,,,,,,,,,,,Universidad Complutense de Madrid,11321873,,,,Spanish,Rev. Gen. Inf. Doc.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85078851217
"Pacios A.R., Rodríguez I.T., Cavero M.M.M.",9844561800;57214590282;57214597550;,Conveying transparency. Case study of Spanish university archive departments [Comunicar transparencia. El caso de los archivos universitarios españoles],2019,Revista General de Informacion y Documentacion,29,2,,527,551,,5,10.5209/rgid.66980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078822414&doi=10.5209%2frgid.66980&partnerID=40&md5=c17f0a9d67312c701a56d33a89fe0983,"Universidad Carlos III de Madrid, Departamento de Biblioteconomía y Documentación, Spain; Universidad Carlos III de Madrid, Archivo universitario, Spain; Universidad de Salamanca, Departamento de Biblioteconomía y Documentación, Spain","Pacios, A.R., Universidad Carlos III de Madrid, Departamento de Biblioteconomía y Documentación, Spain; Rodríguez, I.T., Universidad Carlos III de Madrid, Archivo universitario, Spain; Cavero, M.M.M., Universidad de Salamanca, Departamento de Biblioteconomía y Documentación, Spain","The Spanish Transparency Act in effect since 2014 requires public institutions to upload to their websites and periodically update any information of consequence to guarantee a transparent government landscape. University archive departments, which are indispensable for the transparency of the institutions they serve, should also publish their own information, an initiative that would indisputably enhance their visibility, credibility and image. This study assessed archive department transparency on the grounds of the presence of a series of indicators on their websites. Although examples of good practice were identified, information was found to be scant in certain essential areas, in particular lines of action, organizational objectives and yearly reports. © 2019 Universidad Complutense de Madrid.",Indicators.; Institutional communication; Management; Transparency; University archives,,RTI2018-095187-B-I00,"Este trabajo forma parte de las actividades asociadas al proyecto de investigaci?n sobre la transparencia en bibliotecas y archivos, financiado por el Ministerio de Ciencia, Innovaci?n y Universidades de Espa?a (RTI2018-095187-B-I00).",,,,,,,,,,,,Universidad Complutense de Madrid,11321873,,,,Spanish,Rev. Gen. Inf. Doc.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85078822414
"Royo-Montañés S., Benítez-Gómez A.",8863217100;57214220206;,Open data portals. Methodology of analysis and application to spanish municipalities [Portales de datos abiertos. Metodología de análisis y aplicación a municipios españoles],2019,Profesional de la Informacion,28,6,e280609,,,,5,10.3145/epi.2019.nov.09,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078503462&doi=10.3145%2fepi.2019.nov.09&partnerID=40&md5=919bb9539367c6a621323a64d429a2ae,"Universidad de Zaragoza Departamento de Contabilidad y Finanzas, Facultad de Economía y Empresa, Gran Vía, 2, Zaragoza, 50005, Spain","Royo-Montañés, S., Universidad de Zaragoza Departamento de Contabilidad y Finanzas, Facultad de Economía y Empresa, Gran Vía, 2, Zaragoza, 50005, Spain; Benítez-Gómez, A., Universidad de Zaragoza Departamento de Contabilidad y Finanzas, Facultad de Economía y Empresa, Gran Vía, 2, Zaragoza, 50005, Spain","Public administrations publish open data for later reuse by citizens. Besides the obvious impact on transparency, they have an important economic potential which explains the increasing adoption of this type of initiatives. There is an increasing number of administrations that decide to create open data portals, a tendency that municipalities have followed. Few empirical papers have assessed this type of portals and the analyses have been mainly qualitative or limited to a reduced number of portals, so there are no generally accepted criteria for the assessment of their implementation. The main contribution of this paper is the definition of a method to analyse open data portals and its application to a sample of municipalities of Spain, a country at the forefront of data re-utilization in Europe. Furthermore, the econo-mic-financial information available in these portals is analysed, as it is essential to accountability, fight corruption and evaluate the financial sustainability and effectiveness of public service delivery. Results show that there is much room for improvement in this field. Only 40% of the cities analysed have an open data portal, and the average score of the sample analysed does not reach 50%. Most portals seem to work as mere data repositories, neglecting those aspects that promote data use by the non-expert public, accountability, citizen engagement and the quality of the data being disclosed (e.g., definition of the metadata used). So, the paper concludes with some recommendations for improvement. © 2019, El Profesional de la Informacion. All rights reserved.",Collaboration; Municipalities; Open data; Open data portals; Open government; Participation; Public sector management; Re-use of public sector information; Spain; Transparency,,"Universidad de Zaragoza, UNIZAR; European Regional Development Fund, FEDER: UZ2019-SOC-05","Los autores agradecen a los evaluadores an?nimos por sus valiosas sugerencias y acertados comentarios a versio-nes anteriores de este trabajo. Financiaci?n Este trabajo ha sido financiado por los proyectos ECO2015-66240-P Mineco/Feder (Ministerio de Econom?a y Com-petitividad, Gobierno de Espa?a) S56-17R (Comunidad Aut?noma de Arag?n/FEDER 2014-2020 Construyendo Europa desde Arag?n) y UZ2019-SOC-05 (Universidad de Zaragoza).",,,,,,,,,,"Royo-Montañés, S.; Universidad de Zaragoza Departamento de Contabilidad y Finanzas, Gran Vía, 2, Spain; email: sroyo@unizar.es",,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85078503462
"Valera-Ordaz L., Sørensen M.P.",56017599100;7202044083;,Towards a European public sphere? A comparative study of the facebook activities of danish and spanish members of the European parliament,2019,Profesional de la Informacion,28,6,e280611,,,,5,10.3145/epi.2019.nov.11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078479147&doi=10.3145%2fepi.2019.nov.11&partnerID=40&md5=9c02a34527bae037f6bf6fed0e518350,"Universidad de Valencia, Fac. de Filología, Traducción y Com. Dpto. de Teoría de los Lenguajes y Ciencias de la Comunicación, Av. de Blasco Ibáñez, 32, Valencia, 46010, Spain; Aarhus University, Danish Centre for Studies in Research and Research Policy (CFA), Department of Political Science, Bartholins Allé 7. Building 1331, 026, Aarhus C, 8000, Denmark","Valera-Ordaz, L., Universidad de Valencia, Fac. de Filología, Traducción y Com. Dpto. de Teoría de los Lenguajes y Ciencias de la Comunicación, Av. de Blasco Ibáñez, 32, Valencia, 46010, Spain; Sørensen, M.P., Aarhus University, Danish Centre for Studies in Research and Research Policy (CFA), Department of Political Science, Bartholins Allé 7. Building 1331, 026, Aarhus C, 8000, Denmark","This comparative study examines the everyday Facebook activities of all Danish and Spanish members of the European Parliament (MEPs), and the extent to which there is a real political conversation between citizens and European representatives. Through content analysis, it analyzes the Facebook practices of a significantly under-studied population (MEPs) during a non-campaign period (January 15 to February 15, 2017) while most of recent research has overwhelmingly focused on campaign periods. The results show that both Danish and Spanish MEPs are generously present and active on Facebook, but that they are less popular than their national counterparts. The study shows that Danish MEPs use Facebook in a clearly more dialogue-oriented way than their Spanish colleagues. Their updates often lead to conversations between followers, and they frequently take part in these political discussions, while Spanish MEPs tend to limit their Facebook practices to content publication, avoiding citizen conversation. © 2019, El Profesional de la Informacion. All rights reserved.",Citizens; Democratic deficit; Denmark; Dialogue; European Parliament; Facebook; Interactivity; Members of Parliament; MEP; Political communication; Political conversation; Political representatives; Politicians; Public sphere; Social media; Spain,,Generalitat Valenciana,"This research has benefited from postdoctoral grant Apost2016, awarded by Generalitat Valenciana to Lidia Valera- Ordaz.",,,,,,,,,,"Valera-Ordaz, L.; Universidad de Valencia, Av. de Blasco Ibáñez, 32, Spain; email: lidia.valera@uv.es",,El Profesional de la Informacion,13866710,,,,English,Prof. Inf.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85078479147
"Gómez-Calderón B., García-Borrego M., Fernández-Sande M.",53563451200;57214221253;55578454400;,"Media internships within the journalism degree: Professional routines, conditioning factors and level of satisfaction of the spanish students [Prácticas extracurriculares en el grado en periodismo: Rutinas profesionales, condicionantes y nivel de satisfacción de los alumnos]",2019,Profesional de la Informacion,28,6,e280610,,,,3,10.3145/epi.2019.nov.10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078423104&doi=10.3145%2fepi.2019.nov.10&partnerID=40&md5=b26238f695911d6260036959b16c45f0,"Universidad de Málaga, Facultad de Ciencias de la Comunicación, Campus de Teatinos León Tolstoi, 4, Málaga, 29010, Spain; Universidad Complutense de Madrid, Facultad de Ciencias de la Información, Av. Complutense, 3, Madrid, 28040, Spain","Gómez-Calderón, B., Universidad de Málaga, Facultad de Ciencias de la Comunicación, Campus de Teatinos León Tolstoi, 4, Málaga, 29010, Spain; García-Borrego, M., Universidad Complutense de Madrid, Facultad de Ciencias de la Información, Av. Complutense, 3, Madrid, 28040, Spain; Fernández-Sande, M., Universidad de Málaga, Facultad de Ciencias de la Comunicación, Campus de Teatinos León Tolstoi, 4, Málaga, 29010, Spain","This article studies the conditions of extracurricular internships carried out by Spanish journalism students in order to describe their regular professional routines, the elements that most frequently determine their work and their level of satisfaction with the stay. A survey was conducted in the universities of Málaga and Complutense of Madrid (n=210), whose results present an asymmetric internship system: among other findings, the training conditions depend on factors such as the type and size of the company or the section where the students are allocated; the supervision is dissimilar, with company tutors being much more dedicated than the academic ones, hardly known by the interns; and more than half of the students have been compelled to sign pieces they find unethical or barely professional. © 2019, El Profesional de la Informacion. All rights reserved.",Complutense University of Madrid; Internships; Journalism; Journalism degree; Media; Press offices; Professional routines; Spain; Students; Trainees; University; University of Málaga; Working conditions,,,Financiaci?n Publicaci?n financiada con el apoyo del Departamento de Periodismo de la Universidad de M?laga.,,,,,,,,,,,,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85078423104
"García-Santamaría J.-V., Pérez-Serrano M.-J., Alcolea-Díaz G.",55817086700;56040843000;56040850000;,Prisa in the Spanish media system: From leadership to the loss of centrality [Prisa en el sistema mediático español: Del liderazgo a la pérdida de centralidad],2019,Profesional de la Informacion,28,6,e280614,,,,3,10.3145/epi.2019.nov.14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078413874&doi=10.3145%2fepi.2019.nov.14&partnerID=40&md5=53e32a90364962511833390d4dc47a75,"Universidad Carlos III de Madrid, Departamento de Comunicación, Madrid, 126, Getafe, Madrid  28903, Spain; Universidad Complutense de Madrid, Departamento de Periodismo y Comunicación Global, Avda. Complutense, 3, Madrid, 28040, Spain; Universidad Rey Juan Carlos, Departamento de Ciencias de la Comunicación y Sociología, Camino del Molino, s/n, Fuenlabrada, Madrid  28943, Spain","García-Santamaría, J.-V., Universidad Carlos III de Madrid, Departamento de Comunicación, Madrid, 126, Getafe, Madrid  28903, Spain; Pérez-Serrano, M.-J., Universidad Complutense de Madrid, Departamento de Periodismo y Comunicación Global, Avda. Complutense, 3, Madrid, 28040, Spain; Alcolea-Díaz, G., Universidad Rey Juan Carlos, Departamento de Ciencias de la Comunicación y Sociología, Camino del Molino, s/n, Fuenlabrada, Madrid  28943, Spain","Prisa led from the beginning of the nineties until 2009 the Spanish media system, reaching a turnover of 4,000 million euros per year in 2008. And until it divested its stake in Canal+, Prisa was the largest Spanish multimedia group, both in terms of net income and cumulative audience (15.65%) of press, radio, television and internet. The reasons why a group, destined to be one of the great European champions, lost in a few years its centrality, as well as a good part of its size, measured in net income, are the subject of this article. From the theoretical perspective, this research is based on the Political Economy of Communication, although the article also stops in the analysis of “financialization” and the consequent debt that ultimately hindered the development of the group and that explains, along with other erroneous strategic decisions, the dismantling of a conglomerate that had taken more than thirty years to build. © 2019, El Profesional de la Informacion. All rights reserved.",Communication structure; Financialization; Groups of communication; Media; Media System; Multimedia groups; Prisa; Spain,,,,,,,,,,,,,"García-Santamaría, J.-V.; Universidad Carlos III de Madrid, Madrid, 126, Spain; email: jvgsanta@hum.uc3m.es",,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85078413874
"Papí-Gálvez N., Escandell-Poveda R.",13906834300;57214083575;,Challenges for the internet of future and non-digital Spanish generation: National data 2017 [Retos de internet del futuro y generación española no digital: datos nacionales 2017],2019,Cuadernos.info,,45,,173,190,,,10.7764/cdi.45.1524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078162887&doi=10.7764%2fcdi.45.1524&partnerID=40&md5=3826ed93a7a15ff1fa68e547c3128e17,"Universidad de Alicante, Alicante, Spain","Papí-Gálvez, N., Universidad de Alicante, Alicante, Spain; Escandell-Poveda, R., Universidad de Alicante, Alicante, Spain","This article analyzes the differences in access, use and information, communication and online management skills of Spaniards born before 1965. It applies a cluster with age, sex, studies and income, to a representative national sample, which concludes in two profiles. Bivariate tests (X2, t Student) show intergroup differences in favor of the youngest group, consisting of more men, better income and studies, but with more internal gaps. In a few years, the elderly will be technologically more integrated although the gaps must be reduced and online participation encouraged betting on a digital communication that helps to strengthen the machine-person relationship. © 2019 Pontificia Universidad Catolica de Chile. All rights reserved.",Advertising; Digital communication; Digital gap; Internet; Media skills; Mobile devices,,,,,,,,,,,,,,,Pontificia Universidad Catolica de Chile,7193661,,,,Spanish,Cuadernos.info,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85078162887
